PersonID,Name,EmploymentHistory,Gender,Generation,Age,Multiple Doctoral Degrees,Multiple Master's Degrees,Multiple Bachelor's Degrees,Doctorate Area of Study,Pathway,Years in Presidency,Provost or Dean,Sector,Size Category,Research Expenses Per FTE,Endowment Value Per FTE,Carnegie Classification,Land Grant,president
2,"Boulton, Matthew Myer ",Y,Male,Generation X,40-49,Yes,Yes,Yes,Religion,Traditionalist,4-6,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$100K+,Special Focus Four-Year: Faith-Related Institutions,Not a Land Grant Institution,University Presidents
3,"Trible, Paul S., Jr.",Y,Male,Baby Boomers,70-79,Yes,No,Yes,Law,Traveler,15+,Not available,"Public, 4-year or above","5,000 - 9,999",$.1K - $1K,$1K - $10K,Master's Colleges & Universities: Small Programs,Not a Land Grant Institution,University Presidents
4,"Tracy, Ken ",Y,Male,Generation X,50-59,No,No,Yes,Not available,Traveler,Not available,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$1K - $10K,Special Focus Four-Year: Faith-Related Institutions,Not a Land Grant Institution,University Presidents
5,"Lechner, Jack E., Jr",Y,Male,Millennials,30-39,No,Yes,Yes,Not available,Traveler,0-3,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$1K - $10K,Special Focus Four-Year: Other Special Focus Institutions,Not a Land Grant Institution,University Presidents
6,"Rosa,  John W.",Y,Male,Baby Boomers,60-69,No,Yes,Yes,Not available,Traveler,Not available,Not available,"Public, 4-year or above","1,000 - 4,999",$.1K - $1K,$10K - $100K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
7,"Fike, R. Esther ",Y,Female,Not available,Not available,No,No,Yes,Not available,Traditionalist,15+,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$0K - $.1K,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,Not a Land Grant Institution,University Presidents
8,"Carter, Richard E. ",Y,Male,Not available,Not available,No,No,No,Not available,Traveler,4-6,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$0K - $.1K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
9,"Sears, Andrew ",Y,Male,Generation X,40-49,Yes,Yes,Yes,Other Applied,Traveler,7-10,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$0K - $.1K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
10,"Tisdale, Henry N. ",Y,Male,Silent Generation,70-79,Yes,Yes,Yes,Science/Math,Traveler,15+,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$.1K - $1K,$10K - $100K,Baccalaureate Colleges: Arts & Sciences Focus,Not a Land Grant Institution,University Presidents
11,"Freund, Deborah A. ",Y,Female,Baby Boomers,60-69,Yes,Yes,Yes,Social Science,Traveler,7-10,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$1K - $10K,$100K+,Doctoral Universities: Higher Research Activity,Not a Land Grant Institution,University Presidents
13,"Kuan, Kah-Jin Jeffrey ",Y,Male,Not available,Not available,Yes,Yes,Yes,Not available,Traditionalist,4-6,Dean,"Private not-for-profit, 4-year or above","Under 1,000",$1K - $10K,$10K - $100K,Special Focus Four-Year: Faith-Related Institutions,Not a Land Grant Institution,University Presidents
14,"Whitney, Karen ",Y,Female,Baby Boomers,50-59,Yes,Yes,Yes,Other Applied,Traditionalist,7-10,Not available,"Public, 4-year or above","5,000 - 9,999",$0K - $.1K,$1K - $10K,Master's Colleges & Universities: Larger Programs,Not a Land Grant Institution,University Presidents
15,"Johnson, Ronald A.  ",Y,Male,Not available,Not available,Yes,Yes,No,Social Science,Traveler,0-3,Dean,"Private not-for-profit, 4-year or above","1,000 - 4,999",$1K - $10K,$10K - $100K,Doctoral Universities: Higher Research Activity,Not a Land Grant Institution,University Presidents
16,Robert K. Knight,Y,Male,Not available,Not available,No,Yes,Yes,Not available,Traveler,11-15,Not available,"Public, 4-year or above","10,000 - 19,999",$0K - $.1K,$1K - $10K,Not available,Not a Land Grant Institution,University Presidents
17,"Angel, David P. ",Y,Male,Baby Boomers,50-59,Yes,No,Yes,Not available,Traditionalist,7-10,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$1K - $10K,$100K+,Doctoral Universities: Moderate Research Activity,Not a Land Grant Institution,University Presidents
18,"Burrows, Joanne M. ",Y,Female,Baby Boomers,60-69,Yes,Yes,Yes,Not available,Traditionalist,11-15,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$10K - $100K,Baccalaureate Colleges: Diverse Fields,Not a Land Grant Institution,University Presidents
19,"Damewood, Tony ",Y,Male,Generation X,40-49,Yes,Yes,Yes,Other Applied,Traveler,0-3,Not available,"Private not-for-profit, 4-year or above","1,000 - 4,999",$0K - $.1K,$1K - $10K,Special Focus Four-Year: Other Health Professions Schools,Not a Land Grant Institution,University Presidents
20,"Collins, Anthony G. ",Y,Male,Baby Boomers,60-69,Yes,Yes,Yes,Not available,Traditionalist,Not available,Provost,"Private not-for-profit, 4-year or above","1,000 - 4,999",$1K - $10K,$10K - $100K,Doctoral Universities: Moderate Research Activity,Not a Land Grant Institution,University Presidents
21,"Hynes, Thomas J.",Y,Male,Not available,Not available,Yes,No,Yes,Other Applied,Traditionalist,7-10,Provost,"Public, 4-year or above","5,000 - 9,999",$0K - $.1K,$1K - $10K,Master's Colleges & Universities: Medium Programs,Not a Land Grant Institution,University Presidents
22,"Fox, Donald S. ",Y,Male,Not available,Not available,Yes,Yes,Yes,Not available,Traditionalist,7-10,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$100K+,Special Focus Four-Year: Faith-Related Institutions,Not a Land Grant Institution,University Presidents
24,"Clements, James P. ",Y,Male,Baby Boomers,50-59,Yes,Yes,Yes,Other Applied,Traditionalist,4-6,Provost,"Public, 4-year or above","20,000 and above",$1K - $10K,$10K - $100K,Doctoral Universities: Highest Research Activity,Land Grant Institution,University Presidents
25,"Hogle, Paul ",Y,Male,Generation X,50-59,No,No,Yes,Not available,Traveler,0-3,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$0K - $.1K,$10K - $100K,"Special Focus Four-Year: Arts, Music & Design Schools",Not a Land Grant Institution,University Presidents
26,"Berkman, Ronald M. ",Y,Male,Baby Boomers,70-79,Yes,No,No,Not available,Traveler,7-10,Provost,"Public, 4-year or above","10,000 - 19,999",$.1K - $1K,$.1K - $1K,Doctoral Universities: Higher Research Activity,Not a Land Grant Institution,University Presidents
27,"Cleveland, Carl S, III",Y,Male,Not available,Not available,No,No,No,Not available,Traveler,4-6,Not available,"Private not-for-profit, 4-year or above","Under 1,000",$.1K - $1K,$10K - $100K,Special Focus Four-Year: Other Health Professions Schools,Not a Land Grant Institution,University Presidents
28,"Copeland, Elaine Johnson ",Y,Female,Silent Generation,70-79,Yes,Yes,Yes,Not available,Traveler,11-15,Provost,"Private not-for-profit, 4-year or above","Under 1,000",$.1K - $1K,$1K - $10K,Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's,Not a Land Grant Institution,University Presidents
29,"Loveday, Joyce  ",Y,Female,Baby Boomers,60-69,Yes,Yes,Yes,Not available,Traveler,0-3,Dean,"Public, 4-year or above","1,000 - 4,999",$0K - $.1K,$.1K - $1K,Baccalaureate/Associate's Colleges: Associate's Dominant,Not a Land Grant Institution,University Presidents
